Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,200,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5378.082191780822,30.45,0
2,201,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5361.6,30.6,0
2,202,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5148.083412322276,30.75,0
2,203,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4796.833617021276,30.9,0
2,204,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4834.167782426775,31.05,0
2,205,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4814.9971074380155,31.2,0
2,206,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4820.853556485354,31.35,0
2,207,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4470.345911949688,31.5,0
2,208,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4799.7561983471105,31.65,0
2,209,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4607.9607843137255,31.8,0
2,210,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4601.877113970589,31.95,0
2,211,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4492.119419642859,32.1,0
2,212,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4352.043544303798,32.25,0
2,213,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4300.082099827883,32.4,0
2,214,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4392.038772757926,32.55,0
2,215,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4200.13857142857,32.7,0
2,216,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4177.478010093727,32.85,0
2,217,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4150.957879656164,33,0
2,218,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4180.45572519084,33.15,0
2,219,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4207.923092783504,33.3,0
2,220,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4170.520162932789,33.45,0
2,221,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4143.9183221476505,33.6,0
2,222,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4240.438947368421,33.75,0
2,223,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4258.765220125789,33.9,0
2,224,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4174.84338817794,34.05,0
2,225,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4165.774581525109,34.2,0
2,226,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4241.478975453572,34.35,0
2,227,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4377.948326639892,34.5,0
2,228,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4366.20739920248,34.65,0
2,229,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4308.026358930111,34.8,0
2,230,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4294.960735671511,34.95,0
2,231,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4326.763023057216,35.1,0
2,232,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4269.846401225116,35.25,0
2,233,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4241.953524672707,35.4,0
2,234,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4328.232371458551,35.55,0
2,235,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4283.646399176953,35.7,0
2,236,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4307.932360742707,35.85,0
2,237,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4334.363105263159,36,0
2,238,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4220.028937990021,36.15,0
2,239,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4226.64798870854,36.3,0
2,240,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4220.255578231293,36.45,0
2,241,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4130.154911323329,36.6,0
2,242,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4178.726134055518,36.75,0
2,243,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4191.671208944794,36.9,0
2,244,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4150.906299212598,37.05,0
2,245,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4081.4773421926875,37.2,0
2,246,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4217.9878233438485,37.35,0
2,247,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4260.424275862069,37.5,0
2,248,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4397.60662295082,37.65,0
2,249,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4383.584670658682,37.8,0
2,250,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4510.075729822553,37.95,0
2,251,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4509.309061488673,38.1,0
2,252,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4630.371122230164,38.25,0
2,253,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4595.617208564631,38.4,0
